name,age,height_cm,body_type,job_type,salary_lpa,family_networth,family_occupation,religion,cast,nri,fairness,dowry
Anay Sharma,33,164,athletic,business,3.25,93.4,politics,buddhist,st,yes,fair,134.79
Advik Samra,36,188,slim,business,38.02,55.11,service,muslim,sc,no,fair,104.33
Jeet Mallick,44,199,slim,private job,32.09,114.97,agriculture,sikh,obc,yes,very fair,25.3
Nachiket Johal,35,193,heavy,business,37.2,247.28,politics,hindu,sc,yes,wheatish,129.18
Abdul Sachdeva,37,168,avrage,startup,23.31,57.59,service,sikh,sc,no,bark,141.98
Naksh Badami,24,188,heavy,government job,26.3,492.27,agriculture,christin,st,no,bark,16.37
Imaran Nair,24,166,avrage,business,4.7,34.2,business,buddhist,obc,yes,fair,123.38
Fitan Varughese,26,166,heavy,startup,19.21,276.0,agriculture,buddhist,sc,no,fair,18.0
William Puri,36,187,athletic,business,8.26,76.63,business,muslim,st,yes,bark,110.35
Simon Krishnamurthy,23,160,slim,self employee,20.59,18.8,professional,muslim,sc,no,fair,68.29
Nakul Nayak,30,194,avrage,self employee,22.44,477.5,professional,jain,st,no,very fair,72.66
Shaurya Dey,46,197,avrage,government job,38.72,278.68,politics,hindu,st,no,fair,63.49
Ojas Toor,45,191,athletic,self employee,39.5,390.27,professional,muslim,st,yes,fair,42.79
Warinder Brar,33,191,avrage,self employee,24.37,167.32,business,muslim,general,no,very fair,59.48
Yash Sandhu,48,193,athletic,government job,19.36,445.74,agriculture,hindu,general,yes,fair,93.7
Tejas Singh,35,166,heavy,private job,16.18,222.46,professional,muslim,st,no,bark,115.96
Daniel Dewan,38,180,athletic,self employee,7.14,88.41,agriculture,buddhist,obc,no,bark,130.34
Abeer Bumb,41,165,heavy,government job,16.18,376.69,business,sikh,obc,yes,very fair,79.11
Jagdish Nigam,37,156,athletic,startup,24.54,153.19,agriculture,hindu,sc,yes,wheatish,23.36
Dhruv Kota,21,192,athletic,startup,34.99,235.87,business,hindu,st,no,fair,75.75
Brijesh Chandra,32,155,athletic,self employee,23.68,55.29,service,buddhist,sc,no,fair,107.43
Gavin Raja,48,188,heavy,business,14.0,67.79,agriculture,buddhist,sc,no,fair,128.96
Patrick Mani,31,185,avrage,business,32.36,145.69,service,jain,obc,no,fair,33.63
Krishna Rana,40,159,slim,startup,25.85,22.91,politics,christin,sc,no,bark,66.74
Harrison Hari,43,168,avrage,startup,31.84,344.05,professional,hindu,obc,yes,wheatish,87.62
Jagdish Singhal,31,185,slim,government job,17.07,479.85,politics,buddhist,general,yes,wheatish,81.46
Tejas Dara,37,194,heavy,business,35.86,456.26,service,jain,sc,no,fair,82.65
Banjeet Korpal,45,162,heavy,government job,24.64,25.94,politics,buddhist,st,yes,bark,18.78
Karan Batra,40,156,slim,startup,6.91,334.0,politics,buddhist,general,no,fair,34.29
Frado Pillai,26,174,athletic,private job,37.96,223.7,agriculture,christin,obc,yes,wheatish,57.94
Akshay Sunder,42,172,avrage,business,26.57,164.01,service,hindu,sc,no,fair,80.19
Jeet Gaba,40,183,avrage,government job,37.19,116.96,politics,jain,sc,yes,wheatish,52.72
Andrew Keer,46,192,heavy,self employee,34.41,465.31,service,christin,obc,yes,wheatish,106.49
Fitan Kala,42,192,athletic,startup,26.84,277.94,agriculture,hindu,sc,no,bark,147.58
Kevin Narayanan,35,198,slim,business,3.89,140.62,professional,christin,general,no,fair,90.49
Yash Uppal,31,189,avrage,government job,6.88,395.14,service,jain,st,yes,very fair,58.61
Ekavir Kashyap,43,182,athletic,startup,22.89,382.18,business,jain,sc,no,bark,125.73
Chakradev Biswas,36,176,slim,government job,16.66,37.96,service,hindu,st,no,very fair,73.54
Tarak Tripathi,29,167,slim,self employee,17.05,450.2,service,jain,general,yes,bark,105.29
Warinder Chaudhari,43,193,heavy,private job,24.19,34.42,professional,muslim,st,no,fair,125.88
Xavier Ramachandran,37,198,heavy,government job,13.6,471.22,politics,jain,general,no,very fair,58.44
Shaurya Dhar,26,186,slim,business,36.02,396.43,politics,muslim,st,no,wheatish,94.55
Madhav Sinha,24,198,avrage,business,21.46,48.82,business,christin,sc,yes,very fair,108.02
Krish Borra,35,185,avrage,startup,14.89,455.8,agriculture,muslim,st,yes,wheatish,68.13
Manan Narang,40,184,slim,private job,38.17,251.84,business,christin,general,no,bark,75.26
Imaran Bhatt,32,169,athletic,private job,13.7,145.01,agriculture,sikh,st,yes,very fair,142.84
Laksh Contractor,29,184,athletic,business,31.72,52.78,politics,jain,st,yes,wheatish,63.88
Fitan Kala,23,195,avrage,startup,32.94,106.8,professional,sikh,sc,yes,bark,21.8
Gagan Ben,24,179,heavy,business,10.05,289.15,agriculture,sikh,sc,no,fair,14.55
Vincent Randhawa,22,158,avrage,private job,17.27,148.1,business,buddhist,st,no,wheatish,44.04
Advik Savant,31,192,avrage,business,21.38,118.85,politics,christin,st,no,bark,102.2
Anthony Wagle,35,186,avrage,business,35.19,286.05,agriculture,hindu,sc,no,fair,133.59
Vincent Mallick,28,155,avrage,business,17.21,168.58,business,christin,general,yes,very fair,27.9
Christopher Chopra,38,190,heavy,private job,6.42,379.77,agriculture,christin,general,no,very fair,74.64
Aarnav Chana,29,166,athletic,self employee,4.21,324.59,politics,christin,general,no,bark,52.94
Laban Manda,45,193,athletic,business,39.24,59.63,service,muslim,general,no,very fair,26.68
Shivansh Behl,36,176,heavy,government job,23.84,24.73,service,muslim,obc,yes,bark,76.32
Zashil Pandit,37,193,slim,government job,21.52,186.87,professional,buddhist,obc,no,bark,108.94
Mitesh Narayan,36,179,athletic,self employee,7.41,485.12,business,hindu,sc,no,very fair,124.95
Charles Sura,31,159,athletic,startup,31.36,82.02,service,buddhist,general,yes,fair,64.63
Rushil Ramachandran,38,176,athletic,startup,23.28,90.74,business,christin,general,no,wheatish,92.67
Robert Dhingra,21,193,slim,government job,14.6,265.77,service,sikh,obc,no,wheatish,42.42
Nathaniel Sundaram,45,170,athletic,startup,6.93,380.89,agriculture,sikh,sc,no,bark,60.04
Chakradev Aurora,21,159,athletic,private job,16.6,351.77,politics,muslim,st,no,wheatish,139.89
Mason Sengupta,33,172,avrage,private job,3.46,228.01,business,christin,general,no,very fair,11.48
Anay Jaggi,37,164,athletic,self employee,14.65,141.67,service,buddhist,general,no,very fair,123.36
Jeet Chaudry,36,198,avrage,government job,24.94,349.62,professional,hindu,obc,yes,wheatish,129.51
Agastya Thaker,26,173,heavy,government job,34.76,44.02,agriculture,muslim,general,no,bark,25.46
Fiyaz Chanda,27,188,heavy,startup,4.72,380.22,agriculture,buddhist,obc,yes,wheatish,100.99
Jagat Kibe,24,185,slim,self employee,17.71,313.25,professional,jain,sc,no,fair,79.32
Faraj Bumb,45,194,athletic,government job,31.59,213.37,politics,christin,obc,yes,fair,113.01
Chatresh Batta,33,168,heavy,private job,21.24,469.09,business,hindu,st,no,fair,34.05
Maanav Joshi,45,197,slim,government job,38.94,165.53,agriculture,sikh,general,no,bark,76.55
Dev Amble,25,174,avrage,self employee,3.84,65.61,politics,jain,general,yes,very fair,101.38
David Rajagopal,36,187,slim,startup,39.05,203.76,service,jain,general,no,fair,147.93
Yuvraj Bir,25,160,avrage,private job,4.67,124.55,service,muslim,obc,no,very fair,55.85
Peter Borde,36,190,heavy,private job,23.2,386.93,agriculture,jain,obc,no,very fair,94.17
Harsh Borah,38,172,slim,business,38.25,213.58,politics,jain,st,yes,wheatish,32.72
Omkaar Thakur,22,186,slim,private job,4.16,467.29,professional,hindu,obc,yes,very fair,149.45
Krish Balan,41,163,athletic,private job,12.91,208.64,agriculture,jain,general,yes,wheatish,83.22
Yash Edwin,36,195,heavy,self employee,10.37,164.15,professional,sikh,general,no,bark,45.54
Lakshit Manne,30,186,slim,business,31.18,466.86,politics,buddhist,st,yes,wheatish,124.54
Gunbir Vora,25,178,heavy,self employee,7.66,165.65,agriculture,buddhist,obc,no,bark,138.23
Imaran Sandhu,30,193,athletic,government job,18.26,303.04,agriculture,jain,general,yes,bark,129.59
Jonathan Bhavsar,33,165,avrage,self employee,12.13,88.43,professional,jain,obc,no,wheatish,143.39
Wahab Deo,46,192,avrage,business,20.94,307.73,service,muslim,obc,yes,very fair,149.42
Sathvik Balan,31,160,athletic,startup,9.17,37.63,service,jain,general,no,very fair,143.64
Luke Prakash,45,173,athletic,business,24.16,203.74,business,sikh,general,yes,fair,130.27
Samar Grover,31,200,heavy,startup,21.65,404.12,professional,hindu,st,no,bark,110.36
Mitesh Jain,31,169,heavy,startup,18.25,169.66,politics,buddhist,st,no,very fair,66.34
Matthew Chauhan,42,166,slim,startup,15.28,75.07,agriculture,buddhist,st,yes,very fair,110.43
Harish Konda,21,200,heavy,government job,31.96,190.04,agriculture,christin,general,no,very fair,59.09
Yatin Wason,32,179,slim,business,34.84,468.69,professional,hindu,sc,yes,bark,114.34
Laban Parekh,23,164,athletic,startup,9.39,152.27,professional,muslim,general,yes,bark,47.96
Hardik Om,21,162,heavy,business,38.16,146.93,agriculture,muslim,st,no,bark,43.8
Faqid Gaba,28,160,slim,self employee,30.9,79.97,business,christin,general,no,very fair,85.91
Ryan Varkey,43,185,avrage,government job,16.47,495.65,service,hindu,general,no,fair,73.63
Ayush Anne,30,186,athletic,business,21.69,255.09,agriculture,muslim,obc,no,fair,65.86
Oliver Padmanabhan,33,180,heavy,private job,32.17,77.63,professional,sikh,st,no,bark,12.04
Devansh Randhawa,39,167,athletic,private job,15.33,273.79,service,muslim,general,yes,wheatish,92.46
Maanas Bajaj,48,162,athletic,business,11.99,392.77,service,buddhist,general,no,bark,57.56
Ranbir Hans,32,187,heavy,business,28.06,14.67,agriculture,sikh,obc,yes,very fair,100.62
Ekansh Dutt,45,184,heavy,startup,28.89,481.29,service,christin,general,no,fair,40.13
Sarthak Keer,42,170,slim,government job,5.32,261.13,politics,sikh,st,no,very fair,35.64
Viraj Kale,38,193,athletic,self employee,19.25,283.15,business,muslim,sc,no,wheatish,55.36
Yatin Rau,31,171,athletic,government job,9.55,447.67,politics,jain,obc,no,very fair,14.96
William Rai,22,192,athletic,business,19.9,373.18,professional,sikh,general,yes,very fair,101.22
Warjas Madan,42,196,slim,self employee,11.68,171.98,business,christin,obc,no,bark,42.85
Kai Choudhry,25,188,athletic,government job,15.13,269.42,service,jain,sc,no,fair,29.87
Naveen Dua,41,172,avrage,startup,26.69,318.2,service,jain,sc,no,fair,101.37
Parth Bhatt,26,184,heavy,business,32.48,246.89,service,buddhist,general,yes,wheatish,70.06
Chaitanya Kumer,21,157,heavy,government job,17.94,354.64,agriculture,jain,sc,yes,wheatish,44.15
Udarsh Walia,38,176,athletic,self employee,22.08,456.3,service,muslim,obc,no,wheatish,112.82
Abhimanyu Rajan,33,195,slim,government job,13.01,210.37,service,jain,obc,yes,very fair,123.86
Umang Deshpande,38,199,athletic,startup,14.03,164.62,service,christin,obc,yes,wheatish,109.27
Brijesh Vala,25,179,avrage,business,9.0,163.36,agriculture,hindu,sc,no,fair,102.27
Mohammed Savant,23,186,heavy,business,35.08,203.66,agriculture,hindu,sc,no,wheatish,131.46
Balhaar Bhatia,36,183,athletic,government job,4.93,476.36,politics,buddhist,st,no,fair,149.38
Samar Bera,34,185,athletic,business,5.97,101.6,professional,hindu,general,no,very fair,53.03
Ayaan Chopra,37,174,athletic,private job,38.15,471.72,agriculture,buddhist,general,yes,wheatish,86.65
Patrick Dave,33,159,avrage,self employee,31.96,256.96,professional,jain,st,no,wheatish,68.66
Karan Borah,36,197,avrage,self employee,31.95,362.76,politics,muslim,sc,no,wheatish,145.49
Yash Baral,30,171,heavy,private job,26.45,278.61,professional,hindu,st,no,bark,117.58
Chaitanya Khalsa,28,184,athletic,business,15.6,433.19,service,hindu,obc,no,wheatish,129.82
Bachittar Bath,39,200,slim,self employee,9.49,106.07,agriculture,buddhist,obc,no,fair,137.66
Harshil Sundaram,47,163,slim,private job,36.74,495.7,professional,muslim,sc,no,very fair,58.15
Jatin Kari,47,183,athletic,government job,29.2,287.87,service,buddhist,general,yes,bark,44.65
Ishwar Mittal,48,176,avrage,government job,36.74,333.88,business,muslim,general,yes,bark,139.65
Mason Grover,21,168,heavy,business,23.21,13.09,politics,christin,obc,yes,wheatish,100.45
Krishna Kara,48,190,heavy,business,9.09,367.11,professional,christin,st,no,very fair,84.39
Udant Saraf,32,170,athletic,self employee,11.36,416.09,service,jain,obc,yes,wheatish,64.41
Tristan Dey,26,184,avrage,startup,30.75,245.13,professional,jain,general,yes,bark,98.06
Caleb Bhatnagar,44,158,heavy,private job,18.31,389.29,service,christin,general,no,fair,41.58
Anay Bala,24,194,athletic,private job,29.3,484.37,agriculture,hindu,sc,yes,fair,147.87
Chandresh Luthra,32,193,heavy,government job,8.22,158.2,professional,hindu,general,yes,wheatish,32.05
Gavin Barad,37,188,athletic,self employee,11.19,301.84,politics,sikh,obc,no,very fair,109.59
Rohan Bakshi,43,157,heavy,self employee,21.65,282.85,professional,hindu,general,no,very fair,83.24
Manthan Sachdev,44,195,heavy,business,27.1,375.09,politics,christin,general,no,bark,37.56
Utkarsh Dani,36,182,heavy,self employee,24.85,431.0,politics,buddhist,obc,yes,fair,89.68
Raghav Sen,36,159,slim,government job,7.68,442.71,service,jain,sc,yes,wheatish,117.04
Dakshesh Chada,32,199,avrage,government job,37.22,157.42,professional,buddhist,sc,no,bark,72.16
Ekaraj Sengupta,42,178,avrage,startup,22.66,57.33,politics,muslim,st,yes,wheatish,85.9
Balveer Sehgal,47,192,heavy,private job,32.26,274.07,service,hindu,sc,no,fair,40.79
Jack Nazareth,26,160,slim,government job,14.49,129.62,service,buddhist,general,no,very fair,117.58
Imaran Tripathi,32,162,avrage,government job,31.99,478.89,politics,buddhist,st,yes,wheatish,90.26
Ekapad Yadav,22,157,slim,private job,13.27,171.77,professional,muslim,general,no,very fair,145.89
Warjas Chada,42,183,slim,government job,20.9,190.76,agriculture,muslim,sc,yes,bark,113.76
Ekaraj Saha,40,164,avrage,self employee,23.18,41.44,agriculture,muslim,st,no,fair,83.72
Rehaan Khanna,48,183,heavy,government job,12.4,59.81,service,buddhist,sc,yes,bark,102.0
Fariq Gara,23,162,athletic,private job,28.12,459.77,agriculture,jain,st,yes,wheatish,122.42
Reyansh Joshi,48,171,slim,government job,9.89,381.86,professional,buddhist,sc,yes,bark,35.35
Anthony Yohannan,35,159,heavy,business,16.29,156.46,politics,muslim,obc,yes,very fair,66.69
Mitesh Gopal,29,179,avrage,private job,15.06,439.43,agriculture,jain,general,no,very fair,149.61
Hritik Malhotra,47,196,slim,self employee,38.8,139.62,professional,muslim,obc,yes,bark,89.57
Balhaar Dey,41,195,slim,business,33.59,187.17,agriculture,buddhist,general,yes,bark,131.8
Mohammed Radhakrishnan,45,164,avrage,self employee,34.77,181.74,business,christin,sc,no,fair,31.06
Qasim Edwin,28,177,athletic,business,25.82,93.41,politics,sikh,st,no,wheatish,143.89
Utkarsh Mangat,41,169,slim,self employee,11.23,492.6,service,muslim,st,no,bark,107.64
Girindra Sarna,42,190,avrage,private job,24.72,333.28,professional,christin,sc,yes,wheatish,26.9
Faras Sood,41,159,heavy,business,28.48,137.43,agriculture,muslim,general,yes,very fair,93.8
Faras Deshpande,26,174,heavy,business,8.42,170.91,service,buddhist,obc,no,fair,140.95
Frado Karnik,41,158,avrage,business,16.3,491.41,professional,sikh,sc,no,fair,100.5
Michael Rege,23,180,athletic,business,35.48,486.79,agriculture,muslim,obc,yes,fair,26.89
Chatresh Chana,36,172,avrage,government job,7.27,176.88,service,hindu,sc,yes,bark,64.42
Hitesh Loke,47,192,athletic,self employee,16.47,176.16,business,muslim,obc,no,wheatish,66.88
Maanav Bawa,32,163,avrage,private job,11.06,71.84,politics,muslim,general,yes,very fair,125.9
Yatin Raval,38,183,heavy,government job,31.19,446.3,politics,buddhist,general,no,bark,140.06
Aryan Panchal,21,187,avrage,private job,33.1,314.41,business,muslim,st,no,very fair,26.01
Rishi Chana,22,191,athletic,startup,37.91,380.32,service,sikh,st,no,wheatish,115.13
Dalbir Pandit,48,179,slim,business,17.86,348.38,professional,jain,obc,yes,very fair,37.53
Nathan Sanghvi,43,193,athletic,private job,14.45,274.91,business,jain,obc,no,bark,26.52
Frederick Mahal,38,180,avrage,government job,11.19,174.67,professional,jain,obc,no,fair,13.58
Charles Chopra,36,168,heavy,business,14.42,382.94,business,hindu,st,no,wheatish,143.14
Harrison Gupta,35,161,slim,startup,8.46,45.52,service,jain,obc,no,fair,52.51
Ranbir Kashyap,32,176,avrage,startup,29.47,182.49,service,hindu,sc,yes,very fair,18.71
Ranveer Sawhney,42,176,heavy,private job,29.28,475.66,agriculture,buddhist,obc,yes,fair,61.38
Naksh Nanda,38,166,heavy,business,37.56,83.42,politics,jain,st,yes,very fair,41.9
Samarth Gala,21,190,athletic,private job,16.25,138.59,service,jain,general,yes,very fair,13.95
Ayush Acharya,41,200,athletic,self employee,26.56,94.49,professional,sikh,general,no,fair,139.8
Tanveer Rajagopalan,33,166,heavy,business,39.05,209.86,politics,hindu,general,yes,fair,128.3
Anirudh Agarwal,35,198,avrage,private job,27.51,121.94,business,buddhist,st,yes,very fair,51.26
Champak Manda,27,196,athletic,self employee,31.47,227.75,service,hindu,general,no,wheatish,37.76
Harshil Kala,36,157,heavy,self employee,19.28,136.91,politics,jain,st,yes,bark,59.59
Finn Sen,28,161,athletic,startup,4.9,230.85,agriculture,sikh,obc,yes,fair,96.11
Rachit Sami,30,183,slim,startup,12.69,122.91,agriculture,hindu,general,no,wheatish,98.65
Rudra Krishnan,27,180,slim,private job,37.7,385.93,politics,hindu,obc,yes,wheatish,30.49
Abdul Rao,34,184,slim,private job,7.22,260.72,business,christin,general,yes,bark,34.82
Ekalinga Dani,23,175,heavy,government job,26.12,191.37,business,sikh,st,no,bark,60.46
Jason Kakar,35,173,heavy,startup,29.32,389.05,business,sikh,sc,no,very fair,38.01
Balhaar Dora,46,199,slim,private job,25.42,354.39,politics,christin,obc,yes,very fair,102.95
Kiaan Kapur,45,178,heavy,private job,25.87,307.66,business,muslim,obc,no,very fair,50.0
Faras Kaur,24,181,heavy,self employee,12.87,232.43,service,hindu,obc,no,wheatish,71.91
Amol Walia,29,167,heavy,startup,35.9,60.16,service,hindu,obc,no,bark,124.71
Anmol Vora,27,181,heavy,private job,25.47,400.64,business,buddhist,obc,yes,very fair,56.1
Ranveer Radhakrishnan,31,199,slim,business,35.04,180.28,professional,christin,sc,no,bark,58.01
Darpan Kakar,21,162,heavy,startup,10.95,106.26,politics,hindu,general,yes,very fair,147.88
Aarnav Basak,21,195,avrage,government job,20.94,351.49,agriculture,jain,obc,yes,fair,87.99
Ayush Gera,29,166,heavy,startup,23.75,283.21,agriculture,sikh,obc,no,bark,11.99
Oscar Dara,37,170,athletic,startup,28.09,166.75,agriculture,hindu,obc,yes,wheatish,12.77
Hritik Kunda,37,192,avrage,business,35.79,472.93,business,hindu,general,no,wheatish,67.09
Banjeet Bajaj,41,161,athletic,private job,32.62,453.7,service,christin,st,no,wheatish,42.13
Manan Banik,45,195,heavy,business,19.99,439.03,service,jain,st,yes,very fair,13.04
Parth Gade,23,176,slim,government job,12.49,202.81,agriculture,buddhist,general,no,fair,69.44
Michael Tata,41,169,slim,government job,20.26,408.48,professional,jain,sc,yes,bark,143.08
Tanay Madan,38,178,athletic,business,7.16,199.88,service,muslim,sc,yes,wheatish,72.45
Abhiram Banik,27,173,slim,private job,5.0,294.85,politics,jain,obc,yes,fair,44.64
Warjas Kala,39,181,heavy,self employee,32.71,301.87,agriculture,hindu,general,yes,wheatish,103.48
Kai Bath,24,181,athletic,startup,28.3,41.16,agriculture,sikh,obc,no,bark,132.4
Siddharth Venkataraman,30,160,avrage,private job,12.21,58.47,professional,christin,general,no,very fair,56.26
Advaith Jani,43,188,heavy,private job,37.16,260.17,politics,jain,general,yes,wheatish,35.28
Saksham Srinivasan,45,187,slim,government job,17.13,129.99,agriculture,muslim,general,no,wheatish,118.46
Victor Hayer,36,182,avrage,self employee,31.97,482.53,politics,hindu,sc,yes,bark,127.9
Abdul Palan,39,193,heavy,business,17.46,63.72,service,jain,general,yes,very fair,52.5
Krish Bansal,32,182,athletic,startup,8.86,196.27,service,christin,general,yes,wheatish,89.33
Dalbir Brar,45,157,avrage,startup,19.76,74.16,professional,buddhist,st,yes,bark,54.38
Timothy Rattan,39,181,athletic,business,11.84,468.73,business,hindu,sc,no,fair,56.34
Rehaan Deol,45,192,heavy,business,33.6,140.27,agriculture,buddhist,obc,yes,fair,44.31
Teerth Virk,33,169,slim,government job,16.26,274.32,agriculture,christin,sc,yes,bark,36.78
Wazir Sankar,42,171,athletic,startup,4.4,170.38,service,jain,general,no,fair,26.12
Ayaan Madan,41,181,athletic,self employee,18.34,315.96,business,hindu,obc,no,bark,36.42
Teerth Aurora,29,191,heavy,business,24.9,74.98,professional,jain,st,no,bark,116.39
Champak Balakrishnan,47,163,athletic,startup,9.62,313.07,politics,buddhist,general,yes,bark,17.52
Aarav Karpe,38,168,slim,government job,21.82,147.64,politics,buddhist,general,no,bark,92.27
Charan Basu,22,197,heavy,business,33.91,214.74,service,muslim,st,no,bark,61.9
Caleb Dar,48,176,heavy,startup,25.18,354.43,professional,buddhist,obc,yes,wheatish,58.55
Akshay Sachar,40,178,slim,self employee,23.38,244.96,service,sikh,obc,yes,fair,110.35
Guneet Mammen,25,165,avrage,self employee,20.66,440.51,politics,christin,general,yes,bark,77.76
Imaran Krishnan,35,193,slim,self employee,39.55,355.2,professional,christin,st,no,wheatish,147.55
Ishaan Johal,47,196,athletic,self employee,38.57,72.34,service,buddhist,obc,no,wheatish,42.23
Omkaar Modi,41,199,heavy,business,8.29,100.9,politics,sikh,st,yes,fair,59.88
Ishwar Keer,21,157,heavy,government job,20.75,171.35,professional,sikh,sc,yes,very fair,66.8
Chandresh Bhattacharyya,25,169,athletic,government job,25.92,68.4,politics,muslim,sc,no,fair,16.04
Yug Mani,27,169,slim,private job,39.91,262.37,business,sikh,st,no,very fair,85.04
Caleb Bail,43,198,heavy,government job,16.61,325.15,service,christin,sc,no,wheatish,43.92
Yatin Datta,37,191,athletic,private job,22.8,199.12,agriculture,muslim,st,yes,very fair,45.8
Ekbal Chanda,31,182,athletic,business,37.73,364.74,professional,sikh,sc,yes,very fair,88.26
Abdul Iyer,44,174,athletic,startup,3.7,241.24,business,jain,st,yes,bark,79.93
Nathan Chokshi,48,159,slim,startup,38.79,396.78,service,sikh,obc,yes,fair,60.26
Kai Ray,21,176,athletic,startup,20.14,85.53,politics,muslim,st,no,very fair,140.62
Nathan Nagar,32,163,athletic,business,24.82,440.3,politics,muslim,sc,yes,bark,94.89
Kevin Kapadia,27,157,heavy,business,30.14,348.12,service,hindu,general,no,bark,87.75
Theodore Hora,32,178,avrage,private job,7.81,422.95,politics,buddhist,sc,yes,fair,95.09
Ojas Prashad,28,166,athletic,self employee,31.85,409.93,politics,sikh,general,no,very fair,18.3
Chatura Shan,42,179,avrage,self employee,19.52,77.87,business,jain,sc,no,fair,118.07
Ekalinga Narayan,45,170,athletic,private job,22.95,132.38,politics,christin,general,no,very fair,99.16
Anirudh Tank,42,189,heavy,startup,13.09,464.01,service,jain,st,yes,fair,149.62
Gabriel Ratta,22,169,slim,business,8.8,420.56,business,muslim,general,no,very fair,45.12
Rachit Mahajan,29,163,avrage,self employee,11.27,356.04,service,jain,general,no,fair,115.58
Laksh Sahni,46,158,athletic,private job,37.33,198.96,politics,buddhist,obc,yes,wheatish,46.94
Zaid Shetty,29,164,heavy,government job,8.52,157.5,professional,buddhist,sc,yes,wheatish,34.8
Frederick Dada,31,200,slim,self employee,31.75,96.11,agriculture,hindu,general,yes,very fair,113.12
Jeremiah Kala,36,158,heavy,self employee,14.96,337.35,professional,hindu,st,no,bark,92.76
Ishaan Char,35,199,athletic,business,28.62,463.33,professional,sikh,st,yes,very fair,33.02
Samaksh Bajaj,45,155,slim,private job,3.02,245.5,business,jain,general,no,bark,122.03
Ekansh Doshi,24,175,avrage,private job,34.33,109.55,politics,muslim,sc,no,very fair,134.76
Dev Balasubramanian,44,170,slim,business,23.69,312.89,professional,sikh,general,no,bark,101.55
Gavin Agate,33,200,avrage,government job,22.52,347.17,agriculture,sikh,general,yes,very fair,127.09
Robert Borah,22,173,avrage,private job,36.88,487.25,politics,muslim,obc,yes,very fair,88.22
William Chakraborty,47,171,slim,business,34.65,40.06,politics,hindu,st,yes,wheatish,146.27
Zashil Din,27,164,heavy,startup,15.27,417.37,service,buddhist,st,yes,fair,22.22
Zashil Chandran,34,183,slim,self employee,28.57,372.94,service,muslim,general,yes,wheatish,24.08
Rachit Bal,24,185,athletic,self employee,19.42,165.27,politics,muslim,obc,yes,wheatish,40.84
William Gole,43,170,athletic,startup,27.83,66.05,agriculture,sikh,st,no,wheatish,58.7
Yatin Sehgal,24,167,slim,government job,39.44,372.93,professional,jain,obc,no,bark,54.11
Vedant Pal,46,193,slim,private job,21.54,264.12,professional,christin,st,no,wheatish,117.12
Ekaraj Tata,23,192,slim,self employee,7.43,488.87,agriculture,buddhist,obc,no,wheatish,50.02
Wridesh Prashad,47,177,avrage,business,11.55,269.57,professional,hindu,general,no,wheatish,10.77
Aditya Magar,28,195,avrage,government job,36.79,46.8,politics,sikh,st,no,fair,140.34
Vincent Tailor,24,182,avrage,private job,19.96,229.4,agriculture,hindu,st,yes,very fair,112.32
Shivansh Mallick,22,191,heavy,private job,32.79,421.11,service,jain,obc,no,very fair,13.76
Aayush Gaba,35,169,heavy,business,10.36,488.85,agriculture,hindu,general,no,bark,121.92
Rushil Nagarajan,25,166,avrage,self employee,38.51,28.37,politics,hindu,st,yes,very fair,69.67
Aarnav Chaudhary,35,158,heavy,private job,17.1,330.1,professional,hindu,st,yes,bark,147.23
Parth Contractor,44,180,heavy,business,17.94,359.72,business,christin,st,no,very fair,143.04
Xavier Khare,40,189,avrage,government job,37.65,35.43,professional,hindu,sc,no,bark,126.99
Abeer Swaminathan,48,166,heavy,startup,36.69,457.93,service,buddhist,obc,yes,bark,72.6
Wazir Agarwal,46,194,athletic,private job,32.15,470.76,service,christin,st,no,fair,22.35
Ayush Gulati,40,168,avrage,business,14.23,343.68,politics,jain,general,yes,very fair,82.45
Harrison Savant,46,192,slim,private job,27.35,120.56,business,jain,general,yes,wheatish,43.76
Charles Naik,25,199,slim,startup,26.6,228.17,politics,sikh,sc,yes,very fair,124.16
Pratyush Batta,35,157,slim,private job,13.27,382.5,service,muslim,obc,yes,wheatish,94.5
Nicholas Jayaraman,25,194,athletic,self employee,31.19,337.04,agriculture,buddhist,st,yes,bark,21.94
Rushil Ramesh,38,160,avrage,business,26.44,69.97,business,buddhist,obc,no,wheatish,57.41
Xavier Bhattacharyya,27,179,athletic,government job,35.21,488.62,politics,hindu,obc,yes,very fair,117.95
Theodore Cherian,26,188,avrage,business,20.6,25.69,agriculture,hindu,obc,yes,fair,28.4
Ekalinga Rastogi,43,190,slim,startup,39.5,324.3,agriculture,jain,general,yes,bark,120.87
Veer Nagar,44,194,slim,private job,36.86,220.57,service,buddhist,st,yes,fair,25.59
Daksh Mittal,35,163,avrage,self employee,25.13,41.21,politics,buddhist,sc,yes,fair,95.57
Utkarsh Srinivasan,48,172,athletic,government job,9.07,224.84,service,buddhist,st,no,very fair,11.61
Isaac Naidu,34,161,heavy,government job,15.92,167.39,service,jain,obc,yes,bark,86.6
Ekaraj Sabharwal,40,161,athletic,business,11.68,112.73,business,buddhist,sc,no,bark,63.17
Daniel Dugar,31,177,athletic,government job,37.06,365.22,business,muslim,general,no,very fair,90.93
Jeremiah Mani,30,187,slim,private job,34.73,386.36,business,hindu,general,no,wheatish,23.95
Ekbal Kaul,26,170,slim,private job,12.46,317.05,service,sikh,general,yes,wheatish,146.26
